,time,TSH0,TSH1,TSH2,TSH3,TSOS,V_PSOS,TSHSI,VSHS_OP,VSHS_CL,VSHP_OP,VSHP_CL,V_PC_1,CCH_1,TCO_1,m0plus,m0minus,m2plus,m2minus,m3plus,m3minus
1,0.0,52.6,37.3,52.3,51.8,28.2,0.0,203.1,0.0,0.0,0.0,0.0,0.0,0.0,23.6,0.0,0.0,0.0,0.0,0.0,0.0
2,13.0,52.6,37.3,52.3,51.8,28.2,0.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,0.0,0.0,0.0,0.0,0.0,0.0
3,26.0,52.6,37.3,52.3,51.8,28.2,0.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,0.0,0.0,0.0,0.0,0.0,0.0
4,39.0,52.9,37.5,52.3,51.8,28.2,0.0,196.7,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
5,52.0,52.9,37.5,52.3,51.8,28.2,0.0,196.7,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
6,65.0,52.9,37.5,52.3,51.8,28.2,0.0,196.7,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
7,78.0,52.9,37.5,52.3,51.8,28.2,0.0,196.7,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
8,91.0,52.9,37.5,52.3,51.8,28.2,0.0,196.7,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
9,104.0,52.9,37.5,52.3,51.8,28.2,0.0,196.7,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
10,117.0,52.9,37.5,52.3,51.8,28.2,0.0,196.7,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
11,130.0,52.9,37.5,52.3,51.8,28.2,0.0,196.7,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
12,143.0,52.6,37.5,52.3,51.8,28.2,0.0,196.7,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
13,156.0,52.9,37.5,52.3,51.8,28.2,0.0,196.7,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
14,169.0,52.6,37.5,52.3,51.8,28.2,0.0,196.7,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
15,182.0,52.9,37.5,52.3,51.8,28.2,0.0,196.7,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
16,195.0,52.9,37.5,52.3,51.8,28.2,0.0,196.7,1.0,0.0,0.0,1.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0
